"","census_geoid_start","year","month","census_geoid_end","trips","daily"
"469","48453000102","2018","12","48453001606",2,0.0645161290322581
"470","48453000102","2018","5","48453001604",1,0.032258064516129
"471","48453000102","2018","6","48453001200",1,0.032258064516129
"472","48453000102","2018","7","48453000102",3,0.0967741935483871
"473","48453000102","2018","7","48453001606",1,0.032258064516129
"474","48453000102","2018","8","48453000102",3,0.0967741935483871
"475","48453000102","2018","8","48453000603",1,0.032258064516129
"476","48453000102","2018","8","48453001100",1,0.032258064516129
"477","48453000102","2018","8","48453001604",2,0.0645161290322581
"478","48453000102","2018","8","48453001606",2,0.0645161290322581
"479","48453000102","2018","9","48453000102",10,0.32258064516129
"480","48453000102","2019","1","48453000101",3,0.0967741935483871
"481","48453000102","2019","1","48453000102",116,3.74193548387097
"482","48453000102","2019","1","48453000204",2,0.0645161290322581
"483","48453000102","2019","1","48453000603",2,0.0645161290322581
"484","48453000102","2019","1","48453000700",2,0.0645161290322581
"485","48453000102","2019","1","48453001100",1,0.032258064516129
"486","48453000102","2019","1","48453001303",1,0.032258064516129
"487","48453000102","2019","1","48453001401",2,0.0645161290322581
"488","48453000102","2019","1","48453001603",1,0.032258064516129
